Part,Value,Device,Package,Description,
C1,,C-US025-025X050,C025-025X050,CAPACITOR,
C2,220uf,C-US025-025X050,C025-025X050,CAPACITOR,
C3,0.1uf,C-US025-025X050,C025-025X050,CAPACITOR,
C4,220uf,C-US025-025X050,C025-025X050,CAPACITOR,
C5,100nf,CC0603,C0603,CAPACITOR,
C6,0.1uF,CC0603,C0603,CAPACITOR,
C7,220uf,CC0603,C0603,CAPACITOR,
C9,10nF,CC0603,C0603,CAPACITOR,
C11,100nF,CC0603,C0603,CAPACITOR,
C12,10nF,CC0603,C0603,CAPACITOR,
C13,1uF,CC0603,C0603,CAPACITOR,
D1,FM4007,GF1,SMA-DO214AC,DIODE,
D2,FM4007,GF1,SMA-DO214AC,DIODE,
D4,Fm4007,GF1,SMA-DO214AC,DIODE,
D5,1N34,GF1,SMA-DO214AC,DIODE,
F1,FUSETE5,FUSETE5,TE5,Fuse,
IC1,LM317,317,DPACK,Positive VOLTAGE REGULATOR,
IC2,LM555D,LM555D,SO08,TIMER,
J1,Connector,MTA04-156,1X4MTA,AMP connector,
LED1,,LED_E,LED_1206,LED,
Q1,mosfet,FDD4141TO252,TO252,P-Channel PowerTrench® MOSFET,
R1,1k,RR0603,R0603,RESISTOR,
R2,1.5k,RR0603,R0603,RESISTOR,
R3,330k,RR0603,R0603,RESISTOR,
R4,150k,RR0603,R0603,RESISTOR,
R5,470,RR0603,R0603,RESISTOR,
R6,1k,RR0603,R0603,RESISTOR,
R7,16mm Potentiometer one level,3RP/1610N,3RP/1610N,16mm Potentiometer one level,
R8,0,RR0603,R0603,RESISTOR,donot mount
R9,47k,RR0603,R0603,RESISTOR,
R10,0r0,RR0603,R0603,RESISTOR,
U$1,DIODE D_PAK,DIODE,DPACK,,
